"period","BA","DM","DO","DS","NA","OL","OT","PB","PE","PF","PH","PI","PL","PM","PP","RF","RM","RO","SF","SH","SO","total","newmoonnumber","year","month"
203,0,25,6,0,0,2,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,40,217,1995,1
204,0,32,6,0,0,2,0,0,1,4,0,0,0,0,0,0,6,0,0,0,0,51,218,1995,1
205,0,30,6,0,0,2,0,0,0,6,0,0,0,0,1,0,7,0,0,0,0,52,219,1995,3
206,0,36,5,0,0,0,0,0,0,8,0,0,0,0,3,0,6,0,0,0,0,58,220,1995,3
207,0,28,6,0,0,0,1,0,2,4,0,0,0,0,6,0,7,0,0,0,0,54,221,1995,4
208,0,32,2,0,1,4,0,0,3,4,0,0,0,1,9,0,1,0,0,0,0,57,222,1995,5
209,0,33,1,0,0,2,1,0,0,4,0,0,0,1,17,0,6,0,0,0,0,65,223,1995,6
210,0,33,5,0,1,3,1,0,0,9,2,1,0,1,40,0,5,0,0,0,0,101,224,1995,7
211,0,31,1,0,0,4,6,0,1,9,0,0,0,0,60,0,5,0,0,0,0,117,225,1995,8
212,0,33,4,0,1,5,7,1,1,28,1,0,1,0,67,0,12,0,0,0,0,161,226,1995,9
213,0,41,2,0,2,3,9,3,4,37,0,0,0,0,51,0,4,0,0,0,0,156,227,1995,10
214,0,42,6,0,2,2,5,1,1,27,0,0,0,2,17,0,13,0,0,0,0,118,228,1995,11
215,0,40,9,0,1,0,8,2,1,13,0,0,2,2,6,0,7,0,0,0,0,91,229,1995,12
216,0,57,20,0,0,1,1,3,4,24,0,0,3,1,5,0,4,0,0,0,0,123,230,1996,1
217,0,58,17,0,0,3,4,2,7,34,0,0,0,6,11,0,8,0,0,0,0,150,231,1996,2
218,0,35,11,0,0,2,5,1,8,25,0,0,1,8,28,0,20,0,0,0,0,144,232,1996,3
219,0,48,30,0,0,3,3,0,7,58,0,0,1,10,40,0,25,0,0,0,0,225,233,1996,4
220,0,38,13,0,1,1,3,0,2,35,0,0,0,1,27,0,3,0,0,0,0,124,234,1996,5
221,0,35,18,0,0,2,5,2,2,36,0,0,0,4,41,0,3,0,0,0,0,148,235,1996,6
222,0,22,13,0,0,0,5,1,0,21,0,0,0,0,38,0,1,0,0,0,0,101,236,1996,7
223,0,23,6,0,0,0,4,2,0,13,0,0,0,0,57,0,0,0,0,0,0,105,237,1996,8
224,0,39,8,0,1,0,26,9,1,25,0,0,0,2,34,0,2,0,0,0,0,147,238,1996,9
225,0,41,9,0,2,1,22,8,2,27,0,0,1,1,16,0,0,0,0,0,0,130,239,1996,10
226,0,45,11,0,3,0,18,5,3,19,0,0,0,5,1,0,8,0,0,0,0,118,240,1996,11
227,0,51,18,0,0,0,12,6,0,13,0,0,0,12,0,0,16,0,0,0,0,128,241,1996,12
228,0,87,35,0,0,1,19,10,2,21,0,0,5,14,0,0,39,0,0,0,0,233,243,1997,2
229,0,91,28,0,1,1,20,8,7,34,0,0,0,16,15,0,33,0,0,0,0,254,244,1997,3
230,0,55,25,0,0,3,16,6,4,30,1,0,0,28,65,1,33,0,0,0,0,267,245,1997,4
231,0,43,29,0,6,1,29,19,7,21,1,0,0,31,52,0,9,0,0,0,3,251,246,1997,5
232,0,51,23,0,8,1,33,41,7,16,1,0,0,38,54,0,7,0,0,0,0,280,247,1997,6
233,0,49,27,1,4,1,27,45,6,25,0,0,3,29,77,0,9,0,0,2,0,305,248,1997,7
234,0,41,20,1,9,0,16,31,5,23,0,0,2,15,50,0,5,0,0,2,0,220,249,1997,8
235,0,33,18,1,6,0,31,34,2,10,0,0,5,26,9,0,6,0,0,0,0,181,251,1997,10
236,0,42,15,1,8,0,21,25,8,5,0,0,1,35,1,0,5,0,0,1,0,168,252,1997,10
237,0,47,18,1,3,0,27,25,6,0,0,0,1,22,0,0,6,0,0,2,0,158,253,1997,11
238,0,37,15,1,3,0,19,15,3,0,0,0,2,17,1,0,6,0,0,0,0,119,254,1997,12
239,0,54,13,1,1,0,21,17,0,0,0,0,2,15,0,0,2,0,0,0,0,126,255,1998,1
240,0,50,17,2,2,0,16,21,1,0,0,0,0,8,0,0,3,0,0,0,0,120,256,1998,2
242,0,43,5,0,4,0,10,11,3,1,0,0,2,7,21,0,1,0,0,0,0,108,258,1998,4
243,0,60,12,0,7,0,14,16,4,6,0,0,3,7,23,0,0,0,0,0,0,152,259,1998,5
244,0,35,10,1,6,0,12,30,6,7,0,0,0,8,26,0,0,0,0,0,0,141,260,1998,6
245,0,34,7,1,1,0,10,39,2,6,0,0,0,11,40,0,1,0,0,0,0,152,261,1998,7
246,0,29,5,0,2,0,10,53,3,3,0,0,0,8,45,0,0,0,0,0,0,158,262,1998,8
247,0,32,11,1,4,0,10,45,2,1,0,0,0,9,40,0,0,0,0,0,0,155,263,1998,9
248,0,36,10,1,2,0,24,37,0,0,0,0,0,16,8,0,0,0,0,0,0,134,264,1998,10
249,0,48,13,1,1,0,19,30,1,0,0,0,0,7,0,0,3,0,0,0,0,123,265,1998,11
250,0,49,5,1,1,0,15,20,0,0,0,0,0,6,0,0,2,0,0,0,0,99,266,1998,12
251,0,55,12,1,2,0,21,23,2,0,0,0,0,7,1,0,6,0,0,0,0,130,267,1999,1
253,0,54,9,1,2,0,13,25,0,0,0,0,0,10,2,0,7,0,0,0,0,123,269,1999,3
254,0,54,16,2,2,0,11,33,0,0,0,0,0,7,9,0,1,0,0,0,0,135,270,1999,4
255,0,41,12,1,2,0,12,28,1,0,0,0,0,5,23,0,2,0,0,0,0,127,271,1999,5
256,0,32,10,1,1,0,7,39,1,0,0,0,0,5,20,0,1,0,0,0,0,117,272,1999,6
257,0,3,0,0,5,0,1,8,0,0,0,0,0,0,12,0,0,0,0,0,0,29,275,1999,9
258,0,16,5,0,1,0,6,20,2,0,0,0,0,1,23,0,0,0,0,0,0,74,276,1999,10
259,0,18,3,0,2,0,13,31,0,0,0,0,0,0,44,0,0,0,0,1,0,112,277,1999,11
260,0,11,5,0,2,0,6,37,0,0,0,0,0,0,33,0,3,0,0,1,0,98,278,1999,12
261,0,19,11,0,4,0,7,40,0,0,0,0,0,1,32,0,3,0,0,1,0,118,279,2000,1
262,0,19,13,0,3,0,9,57,0,0,0,0,0,0,31,0,0,0,0,0,0,132,280,2000,2
264,0,20,13,0,2,0,11,50,2,0,0,0,0,0,37,0,2,0,0,1,0,138,283,2000,5
265,0,18,13,0,3,0,8,63,1,0,0,0,0,0,59,0,1,0,0,3,0,169,284,2000,6
266,0,19,7,0,2,0,11,74,1,0,0,0,0,0,72,0,0,0,0,1,0,187,285,2000,7
268,0,25,6,0,1,0,18,62,2,0,0,0,0,0,58,0,0,0,0,0,0,172,287,2000,8
269,0,30,5,0,3,0,25,49,2,0,0,0,0,1,14,0,1,0,0,0,0,130,288,2000,9
270,0,27,7,0,4,0,23,33,6,0,0,0,0,0,3,0,5,0,0,0,0,108,290,2000,11
271,0,23,4,0,2,0,28,31,1,0,0,0,0,0,1,0,0,0,0,0,0,90,291,2000,12
274,0,26,0,0,2,0,8,17,0,1,0,0,0,1,18,0,1,0,0,0,0,74,294,2001,3
275,0,26,8,0,2,0,6,21,1,3,0,0,0,1,23,0,0,0,0,1,0,92,295,2001,4
276,0,32,7,0,10,0,6,28,3,2,0,0,0,0,16,0,0,0,0,3,0,107,296,2001,5
279,0,31,7,0,3,0,23,81,3,5,0,0,0,0,66,0,0,0,0,0,0,219,299,2001,8
280,0,35,7,0,4,0,22,87,2,2,0,1,0,0,52,0,0,0,0,0,0,212,300,2001,9
281,0,37,12,0,5,0,38,78,4,8,0,1,0,0,24,0,0,0,0,1,0,208,301,2001,10
282,0,34,19,0,8,0,28,80,12,1,0,0,0,0,7,0,2,0,0,1,0,192,302,2001,11
285,0,37,28,0,4,0,10,63,7,2,0,0,0,1,4,0,9,3,0,1,0,169,305,2002,2
286,0,37,26,0,5,0,10,53,2,4,0,0,0,0,13,0,2,0,0,1,0,153,306,2002,3
287,0,34,31,0,5,0,12,54,1,2,0,1,0,0,49,0,0,0,0,3,0,192,307,2002,4
288,0,37,33,0,5,0,6,88,11,2,0,0,0,0,51,0,2,0,0,2,0,237,308,2002,5
289,0,27,23,0,4,0,6,95,7,1,0,1,0,0,59,0,2,0,0,0,0,225,309,2002,6
290,0,23,19,0,4,0,11,95,8,1,0,2,0,0,86,0,2,1,0,3,0,255,310,2002,7
291,0,14,7,0,3,0,6,27,0,0,0,1,0,0,26,0,0,0,0,0,0,84,312,2002,9
292,0,25,12,0,5,2,7,100,5,1,0,0,0,0,53,0,0,0,0,0,0,210,313,2002,10
293,0,21,20,0,2,3,21,110,6,2,0,0,0,0,25,0,2,0,1,1,0,214,314,2002,11
294,0,23,22,0,5,1,18,105,5,2,0,0,0,0,11,0,0,0,1,0,0,193,315,2002,12
295,0,21,20,0,5,2,9,77,3,1,0,0,0,0,7,0,1,3,5,0,0,154,316,2003,1
296,0,31,33,0,4,1,15,109,9,6,0,0,0,0,11,0,9,1,4,1,0,234,317,2003,2
297,0,34,48,0,4,1,14,106,18,12,0,1,0,0,15,0,5,1,5,2,0,266,318,2003,3
298,0,35,34,0,8,4,18,97,16,9,0,2,0,0,52,0,8,1,5,1,0,290,319,2003,4
299,0,32,26,0,5,12,36,116,19,7,0,4,0,0,65,0,6,2,4,1,0,335,320,2003,5
300,0,32,19,0,7,6,29,136,7,9,0,3,0,1,60,0,3,0,4,1,0,317,321,2003,5
301,0,29,18,0,4,4,28,107,10,6,0,2,0,0,95,0,2,0,2,1,0,308,322,2003,6
302,0,26,13,0,6,2,25,108,11,4,0,3,0,0,97,0,2,0,3,2,0,302,323,2003,7
303,0,31,10,1,2,4,26,91,7,2,0,0,0,0,68,0,3,0,0,0,0,245,324,2003,8
304,0,20,12,0,1,3,29,83,8,2,0,0,0,0,26,0,5,0,0,0,0,189,325,2003,9
305,0,20,8,0,2,1,24,63,10,0,0,1,0,0,7,0,3,0,0,0,0,139,326,2003,10
306,0,17,13,0,3,0,23,58,9,0,0,2,0,0,3,0,1,0,0,0,0,129,327,2003,11
307,0,30,8,0,1,0,13,52,6,0,0,0,0,0,0,0,1,0,0,0,0,111,328,2003,12
308,0,24,9,0,2,3,15,45,5,0,0,0,0,0,0,0,1,0,0,0,0,104,329,2004,1
309,0,24,13,0,2,0,9,39,4,0,0,0,0,0,1,0,0,0,0,0,0,92,330,2004,2
310,0,21,6,0,0,0,11,39,2,0,0,0,0,0,5,0,0,0,0,0,0,84,331,2004,3
312,0,26,16,0,2,0,9,27,1,2,0,4,0,0,28,0,0,0,0,0,0,115,333,2004,5
315,0,16,9,0,0,0,10,44,1,2,0,3,0,0,47,0,0,0,0,0,0,132,336,2004,8
316,0,8,5,0,0,0,4,43,0,0,0,1,0,0,61,0,0,0,0,0,0,122,337,2004,9
317,0,14,10,0,2,0,15,48,4,0,0,0,0,0,54,0,0,0,0,0,0,147,338,2004,10
319,0,21,12,0,1,0,14,45,2,4,0,1,0,0,11,0,0,0,0,0,0,111,340,2004,12
320,0,11,26,0,2,0,9,39,5,2,0,0,0,1,3,0,1,0,0,0,0,99,341,2005,1
322,0,14,15,0,0,0,10,25,2,0,0,0,0,1,41,0,0,0,0,0,0,108,344,2005,4
324,0,15,19,0,2,0,7,43,4,0,0,1,0,0,52,0,1,0,0,0,0,144,346,2005,6
325,0,12,11,0,1,0,11,62,5,0,0,11,0,0,69,0,1,0,0,0,0,183,347,2005,7
326,0,16,12,0,1,0,8,80,2,0,0,14,0,0,110,0,1,0,0,0,0,244,348,2005,8
327,0,17,12,0,1,0,14,99,0,0,0,14,0,0,104,0,1,0,0,0,0,262,349,2005,9
328,0,12,10,0,0,2,19,99,4,1,0,12,0,0,97,0,0,0,0,0,0,256,350,2005,10
329,0,20,12,0,1,2,30,96,5,5,0,2,0,0,41,0,2,0,0,0,0,216,351,2005,11
330,0,18,14,0,1,1,17,60,7,0,0,3,0,1,6,0,3,2,0,0,0,133,352,2005,12
331,0,24,17,0,0,0,17,64,5,0,0,0,0,1,8,0,1,1,0,0,0,138,353,2005,12
332,0,23,18,0,2,1,13,58,7,0,0,0,0,1,8,0,3,2,0,0,0,136,354,2006,1
333,0,36,9,0,1,0,6,55,6,1,0,0,0,0,15,0,2,1,0,0,0,132,355,2006,2
334,0,24,9,0,1,0,8,58,5,3,0,1,0,0,28,0,1,0,0,0,0,138,356,2006,3
335,0,30,12,0,0,0,4,47,3,2,0,1,0,0,68,0,0,0,0,0,0,167,357,2006,4
336,0,24,12,0,3,1,3,56,1,1,0,0,0,1,67,0,0,0,0,0,0,169,358,2006,5
338,0,20,8,0,1,0,2,77,1,1,0,0,0,0,132,0,0,0,0,0,0,242,360,2006,7
340,0,8,2,0,0,0,1,29,0,0,0,0,0,0,59,0,0,0,0,0,0,99,362,2006,9
341,0,19,2,0,1,0,3,59,1,0,0,0,0,0,103,0,0,0,0,0,0,188,363,2006,10
342,0,16,5,0,1,0,5,78,2,1,0,2,0,1,169,0,0,0,0,1,0,281,364,2006,11
343,0,24,6,0,1,0,3,102,7,0,0,3,0,1,132,1,2,1,0,8,0,291,365,2006,12
345,0,20,15,0,3,0,3,99,7,2,0,0,0,2,74,0,3,1,0,28,0,257,367,2007,2
346,0,18,23,0,1,2,11,90,13,6,0,0,0,7,134,0,14,0,0,32,0,351,368,2007,3
347,0,25,13,0,2,0,6,113,18,0,0,0,1,3,99,0,13,0,0,29,0,322,369,2007,4
348,0,20,15,0,4,1,14,197,10,4,0,0,1,9,86,0,3,0,2,37,0,403,370,2007,5
349,0,29,29,0,4,0,16,231,11,10,0,0,0,10,131,0,12,0,2,36,0,521,371,2007,6
350,0,23,20,0,2,2,26,248,17,16,0,0,3,5,160,0,6,0,2,24,0,554,372,2007,7
352,2,27,30,0,4,1,49,186,5,19,0,0,7,6,138,0,1,0,12,13,0,500,374,2007,9
353,24,34,32,0,7,5,52,141,17,12,0,0,9,12,43,0,9,0,21,4,0,422,375,2007,10
354,24,40,32,0,9,10,63,134,11,13,0,0,16,16,26,0,41,0,13,10,0,458,376,2007,11
355,12,43,41,0,2,4,31,81,6,1,0,0,9,19,4,0,52,0,17,2,0,324,377,2007,12
356,4,40,38,1,3,3,18,67,4,1,0,0,9,11,1,0,37,0,16,3,0,256,378,2008,1
357,2,45,40,1,5,4,12,61,4,0,0,0,7,11,7,0,31,0,21,1,0,252,379,2008,2
358,2,44,42,1,5,4,15,60,5,1,0,0,6,14,13,0,31,0,9,3,0,255,380,2008,3
359,9,41,46,2,4,1,10,62,3,8,0,0,3,12,45,0,22,0,14,5,0,287,381,2008,4
360,4,43,56,2,8,4,14,61,4,10,0,0,4,10,75,0,20,0,17,4,0,336,382,2008,5
361,8,46,51,3,7,3,14,63,6,19,0,0,1,5,69,0,7,0,14,1,0,317,383,2008,6
362,4,40,42,4,5,3,12,70,3,20,0,0,1,3,83,0,1,0,5,1,0,297,384,2008,7
363,0,24,25,1,1,2,6,20,2,4,0,0,0,1,42,0,0,0,5,1,0,134,385,2008,8
364,0,12,12,3,1,0,9,41,3,2,0,0,0,0,49,0,0,0,2,0,0,134,386,2008,8
365,0,13,16,2,6,0,11,44,1,2,0,0,0,3,48,0,0,0,1,0,0,147,387,2008,9
366,0,15,18,4,4,1,12,39,3,2,0,0,0,1,17,0,0,0,0,0,0,116,388,2008,10
367,0,21,21,3,6,1,7,31,5,2,0,0,0,1,5,0,1,0,1,0,0,105,389,2008,11
368,0,22,24,2,2,0,5,24,1,2,0,0,0,0,0,0,0,0,0,0,0,82,390,2008,12
369,1,20,23,1,5,2,6,22,0,0,0,0,0,0,0,0,2,0,3,0,0,85,391,2009,1
370,1,26,22,1,5,0,3,21,2,2,0,0,0,0,3,0,6,0,1,0,0,93,392,2009,2
371,0,23,29,0,5,3,3,18,3,4,0,0,0,0,19,0,7,0,2,0,0,116,393,2009,3
372,3,18,25,0,5,5,7,37,1,4,0,0,0,0,50,0,1,0,3,0,0,159,394,2009,4
373,3,21,28,0,3,2,2,50,2,8,0,0,0,0,51,0,1,0,1,0,0,172,395,2009,5
374,1,15,24,1,2,3,1,56,1,5,0,0,0,0,60,0,0,0,3,0,0,172,396,2009,6
375,2,16,18,2,2,3,2,36,1,3,0,0,1,0,49,0,0,0,0,0,0,135,397,2009,7
376,1,15,13,2,3,2,5,24,1,0,0,0,0,0,28,0,0,0,0,0,0,94,398,2009,8
377,0,14,5,3,3,3,5,14,0,0,0,0,0,1,9,0,0,0,0,0,0,57,399,2009,9
378,0,12,3,2,1,2,4,11,0,0,0,0,0,0,4,0,0,0,0,0,0,39,400,2009,10
379,0,11,1,2,1,2,3,10,0,0,0,0,0,0,1,0,0,0,0,0,0,31,401,2009,11
380,0,11,1,2,1,1,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,27,402,2009,12
381,0,12,0,1,1,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,23,403,2010,1
382,0,15,1,1,1,3,4,4,0,0,0,0,0,0,2,0,0,0,0,0,0,31,404,2010,2
383,0,16,1,0,0,1,2,6,0,0,0,0,0,0,7,0,0,0,0,0,0,33,405,2010,3
384,0,17,1,0,0,1,1,1,0,0,0,0,0,0,22,0,0,0,0,0,0,43,406,2010,4
385,0,21,1,0,0,1,0,2,0,1,0,0,0,0,22,0,0,0,0,0,0,48,407,2010,5
386,0,15,1,0,0,1,2,2,0,1,0,0,0,0,39,0,0,0,0,0,0,61,409,2010,7
387,0,15,3,0,2,1,0,2,0,2,0,0,0,0,104,0,0,0,0,0,0,129,411,2010,9
388,0,18,3,0,1,0,1,0,0,2,0,0,0,0,36,0,0,0,0,0,0,61,413,2010,11
389,0,23,8,0,0,0,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,38,415,2011,1
390,0,20,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,416,2011,2
391,0,19,4,0,0,1,2,0,0,0,0,0,0,0,12,0,0,0,0,0,0,38,417,2011,3
392,0,21,6,0,0,0,3,1,0,1,0,0,0,0,56,0,0,0,0,0,0,88,418,2011,4
393,0,23,2,0,0,0,4,1,0,1,0,0,0,0,73,0,0,0,0,0,0,104,419,2011,5
395,0,11,2,0,0,0,1,1,0,0,0,0,0,0,118,0,0,0,0,0,0,133,421,2011,7
396,0,18,2,0,0,0,0,1,0,0,0,0,0,0,147,0,0,0,0,0,0,168,422,2011,7
397,0,14,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,149,423,2011,8
398,0,15,0,0,0,0,3,1,1,0,0,0,0,0,165,0,0,0,0,0,0,185,424,2011,9
399,0,17,0,0,0,1,5,2,4,2,0,0,0,0,161,0,0,0,0,0,0,192,425,2011,10
401,0,36,2,0,0,7,1,4,13,6,0,0,0,0,8,0,1,1,0,0,0,79,428,2012,1
402,0,33,4,0,0,7,1,4,8,11,0,0,0,0,26,0,3,1,0,0,0,98,429,2012,2
403,0,35,4,0,0,4,2,5,7,9,0,0,0,0,61,0,0,0,0,0,0,127,430,2012,3
404,0,36,2,0,1,8,2,5,7,4,0,0,0,0,116,0,1,0,0,0,0,182,431,2012,4
406,0,52,5,0,1,0,6,10,8,5,0,0,0,0,203,0,0,0,0,0,0,290,433,2012,6
407,0,51,4,0,0,0,4,29,5,1,0,0,0,0,285,0,0,0,0,0,0,379,434,2012,7
408,0,50,3,0,0,0,8,26,4,3,0,0,0,0,238,0,1,0,0,0,0,333,435,2012,8
409,0,45,2,0,0,4,9,25,10,1,0,0,0,0,166,0,0,0,0,0,0,262,436,2012,9
410,0,49,3,0,0,6,12,18,7,2,0,0,0,0,122,0,0,0,0,0,0,219,437,2012,10
411,0,50,2,0,1,7,10,12,10,1,0,0,0,0,39,0,0,0,0,0,0,132,438,2012,11
412,0,71,7,0,1,7,3,13,10,0,0,0,0,0,8,0,0,0,0,0,0,120,439,2012,12
413,0,51,3,0,0,5,5,9,7,1,0,0,0,0,0,0,1,0,0,0,0,82,440,2013,1
414,0,55,4,0,1,7,2,10,7,1,0,0,0,0,4,0,0,0,0,0,0,91,441,2013,2
415,0,63,12,0,1,7,3,11,9,9,0,0,0,0,17,0,2,1,0,0,0,135,442,2013,3
416,2,58,4,0,1,3,4,7,6,3,0,0,0,0,95,0,0,0,0,0,0,183,443,2013,4
417,0,52,5,0,0,7,2,15,5,4,0,0,0,0,100,0,0,0,0,0,0,190,444,2013,5
418,0,40,5,0,0,0,0,14,4,6,0,0,0,0,152,0,0,0,0,0,0,221,446,2013,7
419,0,39,6,0,0,0,2,13,6,0,0,0,0,0,128,0,0,0,0,0,0,194,448,2013,9
420,0,46,4,0,1,4,2,16,13,0,0,0,0,0,78,0,0,0,0,0,0,164,450,2013,11
421,0,54,3,0,0,0,5,16,11,0,0,0,0,0,5,0,1,0,0,0,0,95,452,2014,1
422,0,67,10,0,1,5,1,10,30,1,0,0,0,0,5,0,4,0,0,0,0,134,453,2014,1
423,0,61,7,0,1,1,2,12,31,1,0,0,0,0,36,0,6,0,1,0,0,159,454,2014,3
424,3,57,14,0,0,2,0,10,23,3,0,0,0,0,97,0,9,0,0,0,0,218,455,2014,3
425,0,57,19,0,2,3,4,17,19,0,0,0,0,0,103,0,3,0,0,0,0,227,456,2014,4
426,1,54,12,0,1,2,0,15,14,1,0,0,0,0,141,0,5,1,0,0,0,247,457,2014,5
427,1,48,13,0,0,3,2,26,5,0,0,0,0,0,202,0,2,0,1,0,0,303,458,2014,6
428,0,45,15,0,1,1,5,14,11,0,0,0,0,0,111,0,3,1,0,0,0,207,459,2014,7
429,1,38,10,0,0,1,6,28,8,0,0,0,0,0,210,0,0,0,0,0,0,302,460,2014,8
430,1,36,6,0,1,3,10,28,13,1,0,0,0,0,135,0,0,0,0,0,0,234,461,2014,9
431,0,39,9,0,1,0,14,24,14,1,1,0,0,0,78,0,0,0,3,0,0,184,462,2014,10
432,1,35,9,0,1,4,15,25,16,0,0,0,0,0,42,0,7,3,2,2,0,162,463,2014,11
434,2,55,13,0,1,7,12,13,17,3,0,0,0,0,17,0,17,12,2,2,0,173,465,2015,1
435,11,61,23,0,1,11,16,18,23,6,0,0,0,0,41,0,32,14,14,4,0,275,466,2015,2
436,27,49,28,0,1,4,13,15,24,4,0,0,0,0,94,0,64,4,10,8,0,345,467,2015,3
437,37,30,23,0,1,7,11,11,31,7,0,0,0,0,134,0,81,3,12,10,0,398,468,2015,4
438,18,48,21,0,0,14,18,11,26,4,0,0,0,2,102,0,32,2,9,7,0,314,469,2015,5
439,31,44,13,0,1,6,11,18,32,11,0,0,0,6,164,0,20,1,21,17,0,396,470,2015,6
440,19,45,12,0,1,7,10,12,9,9,0,0,0,5,229,0,9,0,18,5,0,390,471,2015,7
441,15,41,18,0,4,10,19,14,14,8,0,0,0,4,247,0,3,0,1,1,0,399,472,2015,8
442,12,47,14,0,2,11,19,14,18,1,0,0,2,3,144,0,1,0,1,1,0,290,473,2015,9
443,15,54,16,0,2,17,27,16,23,9,0,0,0,9,87,0,12,0,4,1,0,292,474,2015,10
444,5,56,17,0,4,17,32,15,25,6,0,0,1,11,22,0,17,0,1,4,0,233,475,2015,11
446,3,55,23,0,2,6,1,3,14,0,0,0,0,8,2,0,33,3,0,1,0,154,478,2016,2
447,8,50,22,0,2,2,3,2,9,1,0,0,0,4,29,1,23,1,2,0,0,159,479,2016,3
449,5,59,20,1,4,3,5,4,4,0,0,0,0,5,77,0,4,1,0,0,0,192,481,2016,5
450,1,44,15,1,3,1,2,6,4,5,0,0,0,1,61,0,2,0,1,0,0,147,482,2016,6
451,0,35,12,1,1,2,2,4,0,5,0,0,0,0,84,0,0,0,1,0,0,147,483,2016,7
452,0,30,12,1,1,1,4,6,3,2,0,0,0,0,93,0,0,0,0,0,0,153,484,2016,8
453,0,34,9,0,3,2,4,6,5,1,0,0,0,0,76,0,0,0,0,0,0,140,485,2016,9
454,0,34,5,1,3,1,7,5,5,0,0,0,0,0,38,0,0,0,0,0,0,99,486,2016,9
455,0,42,6,1,4,2,10,5,5,0,0,0,1,0,9,0,0,0,0,1,0,86,487,2016,10
458,0,61,16,1,5,1,9,1,4,0,0,0,4,3,0,0,11,2,0,3,0,121,490,2017,1
459,0,62,20,1,7,0,6,2,6,0,0,0,5,2,2,1,10,2,0,1,0,127,491,2017,2
460,0,55,17,0,0,3,11,1,11,0,0,0,3,4,44,0,10,4,0,0,0,163,492,2017,3
461,0,63,19,0,6,3,7,2,11,1,0,0,2,1,44,1,1,0,0,8,0,169,493,2017,4
462,0,44,24,0,5,1,11,5,10,1,1,0,1,0,92,0,1,1,0,0,0,197,494,2017,5
463,0,33,7,1,7,0,8,2,2,1,2,0,0,0,108,0,0,0,0,2,0,173,495,2017,6
465,0,33,9,0,1,0,15,8,2,0,1,0,0,0,158,1,0,0,0,0,0,228,497,2017,8
466,0,42,7,0,6,0,15,6,1,0,1,0,0,0,213,0,0,0,0,0,0,291,498,2017,9
467,0,41,5,1,6,0,26,5,9,0,2,0,1,1,94,0,1,0,0,1,0,193,499,2017,10
